classification,ra ,dec,u,b,v,r,h,k
1,10.86,41.62,19.97,19.52,18.2,17.5,14.4,9999
1,11.29,42,17.49,18.37,18.21,18.04,9999,9999
1,9.88,40.31,19.51,19.09,18.22,17.63,9999,9999
1,10.6,40.63,19.18,18.96,18.23,17.72,15.37,14.91
1,10.76,41.68,19.86,19.34,18.25,17.46,15.05,14.47
1,11.17,41.41,18.53,18.71,18.26,17.91,15.74,15.6
1,10.88,41.1,19.32,19,18.26,17.52,14.91,9999
1,10.11,41.31,19.13,19.05,18.27,17.66,15.36,9999
1,10.4,40.79,19.01,18.84,18.28,17.93,9999,9999
1,10.09,41.68,9999,9999,18.29,9999,9999,9999
1,11.44,41.7,18.86,18.75,18.31,17.9,9999,9999
1,10.26,40.58,18.63,18.75,18.31,18.28,9999,9999
1,10.78,41.2,19.9,19.32,18.31,17.74,14.96,15.17
1,10.52,41.28,20.2,19.58,18.32,17.47,14.88,15.25
1,10.95,41.24,18.72,18.84,18.32,17.91,15.3,9999
1,11.11,41.65,19.01,18.94,18.32,18.08,9999,9999
1,10.18,40.6,19.31,19.14,18.33,17.83,9999,9999
1,10.45,41.02,19.91,19.07,18.34,17.65,14.75,14.61
1,10.29,40.97,19.37,19.13,18.39,17.91,9999,9999
1,11.45,41.81,19.27,19.16,18.39,18.43,9999,9999
1,11.47,42.04,18.99,18.84,18.4,18.1,9999,9999
1,9.71,42.38,19.33,19.16,18.4,17.82,15.12,15.01
1,11.31,41.71,18.64,18.7,18.4,18.17,9999,9999
1,10.82,41.11,19.65,19.25,18.41,17.88,15.41,14.89
1,11.27,41.77,19.59,19.35,18.43,18.39,9999,9999
1,11,41.61,19.55,19.22,18.43,17.93,15.38,15.99
1,10.22,40.9,19.84,19.37,18.44,17.82,9999,9999
1,11.28,41.68,19.52,19.12,18.44,17.69,14.68,9999
1,10.69,41.14,19.47,19.34,18.44,17.92,9999,9999
1,10.76,40.88,19.84,19.39,18.45,17.86,16.43,15.48
1,10.99,41.76,19.2,18.96,18.45,17.86,15.8,15.44
1,11.28,41.66,18.61,18.65,18.46,18.12,9999,9999
1,10.85,41.42,19.74,19.42,18.46,17.86,9999,9999
1,10.66,41.85,19.31,19.19,18.47,17.94,9999,9999
1,10.19,40.86,18.99,19.02,18.48,18.26,9999,9999
1,10.26,40.58,18.26,18.49,18.49,18.1,9999,9999
1,11.36,41.94,9999,9999,18.49,9999,9999,9999
1,11.07,41.24,20.2,19.12,18.5,18.67,9999,9999
1,10.59,41.05,19.92,19.45,18.51,17.93,16.3,17.88
1,10.46,41.33,19.38,19.13,18.51,18.12,15.34,15.2
1,11.33,41.81,18.96,19.42,18.52,19.03,9999,9999
1,10.47,41.11,9999,9999,18.52,9999,9999,9999
1,10.42,41.25,19.55,19.24,18.54,18.09,15.19,15.24
1,10.76,41.22,20.49,19.6,18.54,17.9,9999,9999
1,11.12,41.74,19.94,19.35,18.55,17.72,14.49,14.3
1,10.96,41.49,19.68,19.37,18.55,17.83,9999,9999
1,10.95,41.04,19.59,18.97,18.57,18.02,9999,9999
1,11.39,41.73,20.03,19.6,18.57,18.26,9999,14.67
1,10.15,40.44,17.84,18.7,18.58,18.49,9999,9999
1,10.67,40.3,19.59,19.39,18.58,17.9,9999,9999
1,10.27,41.13,19.9,19.58,18.59,17.93,9999,9999
1,10.26,41.11,19.46,19.34,18.59,18.08,9999,9999
1,10.72,40.74,19.35,19.49,18.61,18.1,9999,9999
1,10.3,41.16,20.05,19.21,18.61,18.24,9999,9999
1,11.08,41.4,18.98,18.94,18.64,18.55,9999,9999
1,11.14,41.35,19.32,19.21,18.64,18.69,9999,9999
1,10.28,40.55,19.4,19.28,18.65,18.15,15.18,14.85
1,10.28,40.57,18.79,19,18.65,18.38,9999,9999
1,11.08,41.35,19.14,19.06,18.65,18.5,9999,9999
1,11.09,41.32,19.61,19.31,18.65,18.13,15.02,9999
1,10.67,41.34,19.92,19.56,18.65,18.05,9999,9999
1,10,40.56,18.79,19.04,18.66,18.64,9999,9999
1,11.09,41.56,19.81,19.55,18.66,18.67,9999,9999
1,10.46,40.88,19.36,19.11,18.67,17.75,14.39,14.09
1,10.62,41.56,19.84,19.49,18.67,18.16,9999,9999
1,10.16,40.81,18.88,19.04,18.67,18.46,9999,9999
1,10.69,41.31,19.8,19.58,18.68,18.15,9999,9999
1,10.58,41.64,19.99,19.58,18.7,18.07,9999,9999
1,10.46,41.27,19.87,19.61,18.7,18.11,9999,9999
1,10.78,41.46,20.55,19.91,18.7,17.9,9999,9999
1,11.17,41.5,19.5,19.29,18.71,18.44,9999,9999
1,11.47,39.93,9999,19.34,18.73,18.36,9999,9999
1,11.15,41.59,20.47,19.39,18.73,18.48,9999,9999
1,10.25,41.11,19.48,19.44,18.75,18.26,9999,9999
1,12.21,41.14,20.01,19.62,18.75,18.14,9999,15.74
1,10.44,41.22,19.45,19.28,18.75,18.45,14.87,9999
1,10.91,41.52,20.2,19.66,18.75,18.13,9999,9999
1,10.64,41.52,20.92,20.21,18.75,17.52,13.89,13.77
1,10.55,41.5,19.36,19.52,18.75,18.25,9999,9999
1,10.62,41.57,20.39,19.83,18.75,18.04,9999,9999
1,10.82,41.53,19.07,19.06,18.76,18.51,9999,9999
1,11.29,41.82,9999,9999,18.76,9999,9999,9999
1,9.51,42.07,19.83,19.55,18.77,18.26,9999,9999
1,10.98,41.24,18.59,18.91,18.77,18.01,16.03,15.18
1,11.01,41.36,20.24,19.81,18.77,18.21,15.13,14.93
1,10.21,41.25,19.74,19.48,18.79,18.35,9999,9999
1,11.28,41.62,19.42,19.59,18.79,18.47,9999,9999
1,10.68,40.49,19.51,19.46,18.79,18.3,9999,9999
1,10.42,40.84,19.5,19.31,18.79,18.22,9999,9999
1,10.24,40.57,9999,19.15,18.8,18.59,9999,9999
1,10.96,41.7,19.99,19.59,18.81,18.23,9999,9999
1,10.59,41.08,20.16,19.74,18.81,18.25,9999,9999
1,10.8,41.05,19.23,19.34,18.81,18.67,9999,9999
1,10.52,41.3,19.83,19.51,18.81,18.35,9999,9999
1,10.65,41.3,20.57,20.05,18.82,18.13,9999,14.18
1,10.77,41.34,20.39,19.58,18.83,17.83,15.2,15.37
1,11.1,41.58,19.4,19.27,18.83,18.55,9999,9999
1,10.12,41.67,19.67,19.6,18.84,18.2,9999,9999
1,11.16,41.48,20.18,19.87,18.84,18.51,9999,9999
1,10.2,40.68,19.87,19.66,18.84,18.29,9999,9999
1,11.39,41.71,20.02,19.73,18.86,18.58,17.68,15.59
1,11.46,41.66,19.98,19.82,18.87,18.56,9999,9999
1,11.27,41.98,19.88,19.66,18.89,18.35,9999,9999
1,10.59,41.34,9999,9999,18.89,9999,9999,9999
1,11.1,41.57,19.39,19.36,18.9,18.72,9999,9999
1,10.22,40.98,19.81,19.59,18.92,18.48,9999,9999
1,10.64,41.29,19.88,19.64,18.92,18.47,9999,9999
1,11.06,41.37,18.17,18.77,18.93,18.56,9999,9999
1,11.13,41.5,20.04,20,18.94,19.4,9999,9999
1,11.27,41.71,19.67,19.58,18.95,18.61,9999,9999
1,10.2,40.93,19.35,19.42,18.96,18.9,9999,9999
1,11.24,41.88,20.31,19.87,18.96,18.4,9999,9999
1,11.4,41.76,20.43,20.14,18.98,18.78,9999,9999
1,10.38,40.77,19.52,19.4,18.99,18.75,9999,9999
1,11.25,41.56,20.03,19.88,18.99,18.67,9999,9999
1,11.32,41.72,20.4,20.42,18.99,19.94,9999,9999
1,11.15,41.45,19.18,19.07,19.01,18.47,9999,9999
1,11.32,41.68,20.1,20.09,19.01,19.36,9999,9999
1,11.36,41.76,19.75,19.72,19.04,19.27,9999,9999
1,10.69,41.46,20.32,19.97,19.05,18.56,9999,9999
1,10.37,40.75,19.68,19.52,19.05,18.67,9999,9999
1,10.19,41.68,20.32,19.97,19.05,18.33,9999,15.69
1,10.42,40.87,19.83,19.72,19.06,18.64,9999,9999
1,10.81,41.15,19.83,19.62,19.06,18.59,9999,9999
1,10.76,41.44,19.89,19.65,19.07,18.76,9999,9999
1,10.27,41.48,21.04,20.3,19.08,18.33,9999,9999
1,11.3,41.67,21.21,20.24,19.08,18.9,9999,9999
1,10.54,41.35,21.21,20.31,19.09,18.31,15.18,15.64
1,11.24,41.8,20.73,20.37,19.09,18.5,15.66,14.81
1,10.66,41.61,19.99,19.78,19.09,18.61,9999,9999
1,10.32,41.09,20.43,20.05,19.12,18.47,15.7,14.81
1,11.26,41.83,20.71,19.98,19.13,18.57,9999,9999
1,10.58,41.7,20.31,20.01,19.14,18.42,9999,9999
1,12.06,41.49,20.75,20.08,19.14,18.57,9999,9999
1,11.47,41.96,20.17,19.89,19.14,18.69,9999,9999
1,11.26,41.99,19.97,19.9,19.16,18.62,9999,9999
1,10.41,40.68,19.36,19.62,19.19,18.82,9999,9999
1,11.3,41.82,20.37,20.35,19.2,19.69,9999,9999
1,11.28,41.76,20.48,20.47,19.22,19.74,9999,9999
1,11.82,41.05,19.68,19.84,19.24,18.72,9999,9999
1,10.8,40.93,20.79,20.29,19.24,18.59,9999,9999
1,9.15,41.02,20.06,19.94,19.25,18.81,9999,9999
1,10.96,41.04,20.12,19.9,19.28,18.93,9999,9999
1,10.25,40.57,19.49,19.62,19.3,19.02,9999,9999
1,10.19,40.89,20.3,20.01,19.32,18.87,9999,15.22
1,10.64,41.36,19.64,19.65,19.33,19.18,9999,9999
1,10.47,40.88,20.09,19.9,19.33,18.95,9999,9999
1,11.05,41.35,19.96,20.08,19.34,18.47,9999,9999
1,10.73,41.05,20.34,20.05,19.35,18.94,9999,9999
1,11.04,41.86,20.85,20.48,19.35,18.65,9999,9999
1,11.41,41.67,20.69,20.41,19.35,19.34,9999,9999
1,11.31,41.79,20.1,20.42,19.37,19.5,9999,9999
1,10.57,41.33,9999,9999,19.37,9999,9999,9999
1,10.94,41.3,19.68,19.58,19.38,18.87,9999,9999
1,10.72,41.37,21.64,20.66,19.4,18.64,9999,14.86
1,10.35,40.6,20.58,20.25,19.4,18.81,9999,9999
1,11.44,41.81,20.08,19.88,19.42,18.79,9999,9999
1,11.15,41.63,20.9,20.46,19.42,18.75,9999,9999
1,9.75,41.67,20.2,20.17,19.44,18.82,9999,9999
1,11.03,41.4,9999,19.87,19.46,19.23,9999,9999
1,11.33,41.83,20.83,20.42,19.47,18.77,15.9,14.53
1,11.24,41.92,20.76,20.31,19.47,18.96,9999,9999
1,10.22,41.27,20.42,20.26,19.48,18.84,9999,9999
1,11.32,41.7,20.56,20.5,19.5,19.92,15.35,14.75
1,10.49,40.78,9999,20.04,19.51,19.16,9999,9999
1,11.98,41.46,20.57,20.25,19.51,19.06,9999,9999
1,10.48,40.79,19.67,20.09,19.55,18.94,15.58,15.58
1,10.81,41.9,20.48,20.27,19.55,19.14,9999,9999
1,11.37,41.7,20.06,19.77,19.57,18.84,9999,9999
1,11.13,41.47,21.01,20.49,19.59,18.87,9999,9999
1,8.56,39.88,9999,20,19.62,18.77,9999,15.66
1,10.64,41.31,20.69,20.55,19.63,19.12,9999,9999
1,10.81,41.64,20.8,20.37,19.63,19.19,9999,9999
1,9.06,40.97,9999,20.55,19.64,19.08,9999,9999
1,11.14,41.39,20.78,20.6,19.64,19.51,9999,9999
1,11.41,41.61,20.58,20.35,19.65,19.23,9999,9999
1,10.87,41.21,9999,9999,19.66,9999,9999,9999
1,10.23,40.59,19.45,19.99,19.68,19.41,9999,9999
1,11.18,41.69,20.83,20.46,19.68,19.15,9999,9999
1,10.11,41.71,9999,9999,19.69,9999,9999,9999
1,10.99,41.36,20.29,20.17,19.73,19.6,9999,9999
1,10.6,41.21,21.35,20.65,19.76,19.22,9999,9999
1,9.99,40.59,20,20.32,19.77,19.33,9999,9999
1,10.15,40.56,20.97,20.5,19.77,19.37,9999,9999
1,10.22,40.61,21,20.57,19.78,19.13,9999,9999
1,11.34,41.8,21.38,21.16,19.78,19.96,9999,9999
1,11.23,41.48,20.43,20.32,19.83,19.59,9999,9999
1,10.31,41.16,19.55,20.75,19.83,19.25,9999,9999
1,11.16,41.74,21.34,20.84,19.84,19.53,9999,9999
1,10.97,41.61,21.12,20.75,19.86,19.27,9999,9999
1,10.21,40.68,21.49,20.86,19.86,19.22,9999,9999
1,10.45,40.85,21.41,20.92,19.87,19.19,9999,9999
1,10.85,41.65,21.12,20.82,19.88,19.31,9999,9999
1,10.11,40.76,20.45,20.49,19.95,19.46,9999,9999
1,11.26,41.78,21.72,21.08,19.95,19.36,9999,9999
1,11.23,41.88,21.18,20.78,19.95,19.41,9999,9999
1,10.83,40.99,21.21,20.85,19.97,19.43,9999,9999
1,10.45,41.88,21.11,20.95,19.99,18.9,9999,9999
1,10.94,41.66,22.18,21.12,20.01,18.9,9999,9999
1,11.6,42.02,21.29,20.88,20.02,19.46,9999,9999
1,10.58,40.87,21.12,20.85,20.1,19.58,9999,9999
1,11.27,41.6,20.71,20.96,20.13,19.43,9999,9999
1,10.47,40.84,20.72,20.66,20.28,20.19,9999,9999
1,10.71,40.98,21.61,21.25,20.3,19.74,9999,9999
1,11.18,41.96,9999,9999,20.38,9999,9999,9999
1,10.13,40.77,21.78,21.21,20.39,19.62,9999,9999
1,11.09,41.69,9999,9999,20.53,9999,9999,9999
1,11.21,41.33,21.2,21.18,20.64,20.22,9999,9999
1,9.64,41.75,18.22,18.35,999,17.37,9999,9999
1,10.49,40.77,9999,9999,999,9999,9999,9999
2,10.44,41.21,18.75,19.55,19.19,18.95,9999,9999
2,10.51,41.27,18.9,9999,9999,9999,9999,9999
2,10.8,41.4,19.25,9999,9999,9999,9999,9999
2,10.55,41.43,18.15,9999,9999,9999,9999,9999
2,10.71,41.42,17.72,18.62,18.54,18.64,9999,9999
2,8.63,41.56,18.59,18.81,17.75,17.42,14.73,14.42
2,8.73,41.54,18.93,18.43,17.36,16.74,14.11,13.95
2,9.37,41.6,19.68,18.58,17.45,16.75,14.67,14.18
2,9.15,41.62,19.37,18.97,17.89,17.22,15.02,14.98
2,11.1,42.07,17.37,18.14,18.05,15.69,9999,9999
2,12.32,40.77,19.28,18.85,17.68,16.96,14.59,14.31
2,12.32,40.75,19.68,18.81,17.58,16.81,14.33,13.86
2,12.37,41.08,20.22,19.05,17.89,17.17,14.54,14.47
2,12.58,40.97,19.01,19.68,18.43,17.66,14.79,14.37
2,8.64,40.05,21.36,20.57,19.33,18.57,15.32,15.27
2,8.84,41.93,21.03,20.14,18.78,17.92,15.46,14.58
2,8.94,39.66,21.13,20.31,19.13,18.4,15.8,15.63
2,9,40.94,21.81,20.89,19.53,18.68,15.75,15.05
2,9.38,40.61,20.35,19.39,18.17,17.41,14.65,14.3
2,9.4,40.59,21.3,20.6,19.14,18.25,9999,14.6
2,10.08,40.52,20,19.92,18.63,17.81,9999,9999
2,10.12,41.7,20.07,19.9,19.11,18.57,9999,9999
2,10.15,41.79,20.25,21.13,19.87,19.11,9999,9999
2,10.21,41.71,23.12,21.86,20.1,19.02,9999,9999
2,10.24,41.13,21.27,21.7,20.12,19.15,9999,9999
2,10.36,40.51,19.45,21.42,19.9,18.96,9999,9999
2,10.57,41.41,22.02,20.7,19.31,18.45,9999,9999
2,10.57,41.4,20.24,20.29,19.67,19.24,9999,9999
2,10.6,40.61,23.07,23.01,22.32,21.84,9999,9999
2,10.74,40.5,21.35,20.92,19.7,18.95,9999,9999
2,10.84,41.32,18.9,20.23,19.13,18.44,9999,9999
2,10.85,42.03,20.68,19.95,18.85,18.14,9999,9999
2,10.86,40.42,21.28,20.89,19.92,19.29,9999,9999
2,11.11,40.71,21.47,20.87,19.4,18.5,16.07,14.9
2,11.38,40.8,21.42,20.54,19.37,18.65,9999,9999
2,11.39,40.29,20.34,20.15,19.31,18.78,9999,9999
2,11.48,39.95,20.87,20.58,19.18,18.28,15.3,15.18
2,11.58,40.4,21.64,21.35,20.36,19.79,9999,9999
2,11.76,41.18,20.86,20.2,19.08,18.39,9999,9999
2,11.81,40.43,20.44,19.8,18.68,17.99,15.38,14.77
2,12.11,41.33,21.58,20.47,19.74,19.28,9999,9999
2,12.11,41.1,22.56,21.28,19.89,19.05,9999,9999
2,12.27,41.96,21.21,20.51,18.95,17.99,15.14,14.81
2,12.57,42.11,20.73,20.3,19.21,18.53,16.4,15.43
2,8.32,40.01,20.9,20.03,18.63,17.77,15.11,14.4
2,8.4,40.14,19.72,20.64,19.27,18.41,9999,9999
2,8.41,39.59,21.34,20.12,18.79,17.96,15.08,14.96
2,8.48,39.58,21.07,20.17,18.59,17.61,14.81,14.2
2,8.61,39.9,20.57,19.99,18.89,18.21,16.09,15.38
2,8.71,39.93,21.28,20.47,19.16,18.35,15.41,14.8
2,8.79,40.09,20.89,20.29,19.09,18.35,9999,9999
2,8.84,39.58,21.05,19.78,18.44,17.62,14.95,14.36
2,8.84,41.83,21.31,20.39,19,18.12,15.55,15
2,8.87,39.54,21.36,20.82,19.52,18.72,9999,9999
2,8.87,41.71,21.01,20.09,18.71,17.83,15.36,14.91
2,8.96,41.83,21.93,21.11,19.81,18.98,9999,9999
2,8.97,41.86,22.72,21.61,20.07,19.1,9999,9999
2,8.97,41.73,20.77,20.26,19.21,18.52,9999,9999
2,8.98,41.78,21.07,20.14,18.75,17.88,15.65,14.69
2,9.02,39.97,20.77,20.42,19.26,18.52,15.46,14.9
2,9.09,39.87,21.64,20.26,18.88,18.02,15.63,14.53
2,9.11,41.59,21.4,22.98,21.29,20.22,9999,9999
2,9.13,42.11,21.24,20.77,19.74,19.07,9999,9999
2,9.14,41.5,21.84,21.4,19.96,19.09,9999,9999
2,9.16,42.25,20.42,19.46,18.04,17.15,14.48,13.83
2,9.19,41.44,21.86,21.15,19.87,19.08,9999,9999
2,9.2,40.07,21.51,20.83,19.46,18.6,9999,9999
2,9.21,39.66,21.03,19.93,18.51,17.63,14.75,14.35
2,9.25,39.56,22.26,21.31,19.85,18.89,16.28,15.97
2,9.26,41.56,22.35,21.05,19.9,19.18,9999,9999
2,9.27,40.02,20.14,20.32,19.1,18.34,9999,9999
2,9.29,39.82,21.41,20.5,19.46,18.83,9999,9999
2,9.37,41.92,21.94,21.36,19.92,18.98,9999,15.48
2,9.41,41.9,22.98,21.82,20,18.88,15.7,15.49
2,9.5,42.05,21.32,20.55,19.16,18.3,16.26,14.93
2,9.55,41.88,21.79,21.64,20.46,19.71,9999,9999
2,9.68,41.98,21.83,21.75,20.14,19.17,9999,9999
2,9.76,42.07,19.25,20.54,19.2,18.36,9999,9999
2,9.79,41.59,20.39,20.06,18.92,18.22,9999,9999
2,9.87,42.05,21.38,20.57,19.14,18.25,15.26,15.13
2,10.06,41.91,18.68,20.33,19.4,18.86,9999,9999
2,10.08,41.92,22.1,20.84,19.32,18.32,14.92,14.82
2,10.22,40.01,22.2,20.68,19.43,18.67,9999,15.33
2,10.6,40.64,20.97,21.99,20.05,18.85,9999,9999
2,10.64,40.08,21.04,20.71,19.4,18.61,9999,9999
2,10.76,40.75,21.78,21.08,19.82,19.05,9999,9999
2,11.02,41.26,21.53,20.95,19.23,18.13,14.49,13.94
2,11.05,42.19,21.09,19.83,18.42,17.54,14.78,14.38
2,11.07,40.61,21.54,20.99,19.9,19.19,9999,9999
2,11.1,41.86,21.38,20.65,19.09,18.06,13.77,13.49
2,11.13,40.28,21.08,20.28,18.74,17.78,15.21,14.14
2,11.19,40.59,21.92,22.12,20.41,19.34,9999,9999
2,11.21,40.39,21.26,20.97,19.43,18.47,15.45,14.69
2,11.22,41.53,22.59,20.54,19.78,19.35,9999,9999
2,11.23,40.11,21.17,20.16,19.03,18.34,15.37,15.17
2,11.28,40.74,21.11,20.35,19.08,18.3,9999,9999
2,11.3,40.59,21.28,20.67,19.52,18.82,9999,9999
2,11.46,40.43,21.01,20.16,18.73,17.84,14.94,14.52
2,11.51,40.38,22.06,21.74,20.06,19.03,9999,9999
2,11.6,40.96,21.47,20.45,19.26,18.52,15.94,15.7
2,11.6,40.59,20.68,19.65,18.25,17.38,14.65,14.35
2,11.64,40.51,20.73,20.46,19.53,18.96,9999,9999
2,11.72,41.37,21.15,20.23,18.84,17.96,14.83,14.51
2,11.76,41.06,21.59,20.79,19.53,18.74,9999,9999
2,11.77,41.65,21.39,20.29,19.02,18.23,16.32,16.19
2,12,41.66,20.96,20.73,19.7,19.06,9999,9999
2,12.18,42.26,22.06,20.27,19.21,18.55,9999,9999
2,10.53,41.16,19.2,19.09,18.35,17.89,9999,9999
2,11.85,41.92,19.48,18.92,17.55,16.74,14.02,13.77
2,10.62,41.25,20.95,20.27,19.18,18.47,9999,9999
2,10.21,41.03,19.6,19.51,18.87,18.44,9999,9999
2,10.28,40.84,18.06,18.84,18.7,18.67,9999,9999
2,10.39,41.02,21.82,20.83,19.71,19,9999,9999
2,10.5,41.2,20.2,19.86,18.93,18.33,9999,9999
2,10.94,41.34,19.73,19.74,19.12,18.73,9999,9999
2,11.46,41.81,20.18,20.08,19.76,19.67,9999,9999
2,11.98,42.48,19.93,20.11,19.11,18.51,9999,9999
2,11.81,42.36,19.93,19.79,18.85,18.21,15.68,14.78
2,11.09,41.92,17.11,17.13,16.48,16.15,14.9,14.88
2,12.06,42.42,19.03,18.81,18.13,17.74,9999,9999
2,11.29,41.71,19.84,19.78,19.01,19.23,9999,9999
2,11.32,41.75,20.96,20.75,20.7,19.53,9999,9999
2,11.39,41.73,20.87,20.51,19.31,19.25,9999,9999
2,11.42,41.74,19.96,19.98,19.15,19.05,9999,9999
2,10.04,40.61,18.57,18.91,18.51,18.16,9999,9999
2,10.44,41.56,23.47,22.61,21.04,19.89,9999,9999
2,9.38,40.31,20.16,20.01,18.92,18.32,9999,9999
2,9.39,40.09,20.57,20.2,18.73,18.06,15.51,14.99
2,9.48,40.29,20.67,20.06,18.53,17.7,9999,9999
2,10.06,40.62,18.24,18.46,18.1,17.85,9999,9999
2,10.24,40.74,21.2,20.9,20.21,19.83,9999,9999
2,10.28,41.16,19.09,19.29,19.02,18.88,9999,9999
2,10.29,41.17,19.24,18.7,17.61,16.88,14.38,14.13
2,10.3,40.39,19.48,19.59,18.5,17.89,9999,9999
2,10.36,40.69,19.33,19.37,18.89,18.55,9999,9999
2,10.42,40.97,20.52,20.46,19.05,17.92,9999,14.38
2,10.49,40.5,20.6,20.71,19.51,18.75,9999,9999
2,10.64,41.18,19.65,19.59,18.59,17.96,15.32,14.33
2,10.73,41,19.49,19.62,19.1,18.76,9999,9999
2,10.74,40.69,20.8,20.85,20.05,19.42,9999,9999
2,10.93,40.98,21.02,20.86,19.57,18.89,9999,9999
2,11.37,41.51,20.89,20.53,19.14,18.39,15.56,14.88
2,11.41,41.83,19.74,19.66,18.93,18.4,15.56,15.2
2,11.47,41.53,20.99,20.25,19.33,18.75,9999,9999
2,11.47,41.69,20.22,19.92,19.17,18.66,15.4,15.02
2,11.57,41.75,21.23,20.76,19.94,19.37,9999,9999
2,11.7,42.03,20.78,20.48,19.81,19.29,9999,9999
2,11.73,42.01,18.36,19.39,18.99,18.46,9999,9999
2,12.11,42.05,18.81,18.27,17.08,16.4,13.82,13.45
2,9.41,40.09,19.52,19.11,17.72,17.03,14.38,13.93
2,9.42,40.08,21.1,20.53,19.09,18.36,15.42,15.33
2,9.42,40.09,20.84,20.49,19.06,18.37,15.79,15.49
2,9.53,40.41,19.76,18.96,17.98,17.38,15.63,19.27
2,9.7,40.05,20.45,20.18,18.99,18.34,9999,9999
2,9.72,40.64,20.86,20.35,19.57,19.09,9999,9999
2,9.78,40.67,19.1,19.39,19.07,18.84,9999,9999
2,9.83,40.63,20.13,19.62,18.22,17.35,14.27,14.24
2,9.99,41.02,20.5,19.96,18.65,17.86,14.89,14.97
2,10.02,40.24,20.88,20.47,18.87,17.98,15.09,14.56
2,10.06,40.77,20.25,20.14,19.53,19.07,9999,9999
2,10.2,40.68,21.22,20.82,19.9,19.27,9999,9999
2,10.26,40.8,20.75,20.23,18.78,17.98,14.87,14.5
2,10.42,41.07,20.83,20.29,18.74,17.96,15.14,14.91
2,10.77,41.24,20.35,19.44,18.38,17.67,14.57,14.16
2,10.79,41.29,20.14,19.74,18.33,17.64,9999,14.96
2,11,41.07,21.31,20.55,18.95,17.79,15.05,14.19
2,11.33,41.38,21.62,20.89,19.4,18.53,15.74,14.71
2,11.34,41.5,21.15,20.77,19.93,19.37,9999,9999
2,11.36,41.7,20.51,20.21,20.05,18.85,9999,9999
2,11.36,41.55,20.72,20.64,19.06,18.19,15.09,14.29
2,11.36,41.39,19.28,18.76,17.61,16.89,14.58,14.1
2,11.41,41.9,20.31,19.99,19.24,18.78,9999,9999
2,11.41,41.89,20.9,20.62,19.8,19.25,9999,9999
2,11.43,41.91,19.59,19.34,18.22,17.4,13.84,13.62
2,11.45,41.87,20.45,20.21,19.72,19.42,9999,9999
2,11.52,41.61,19.93,19.94,19.35,18.99,9999,9999
2,11.57,41.61,20.83,20.73,19.05,18.22,15.64,14.59
2,11.58,41.78,20.64,20.58,19.6,18.93,9999,9999
2,11.75,42.3,20.34,20,19.24,18.48,9999,9999
2,12.13,42.02,19.23,18.77,17.57,16.86,13.99,13.74
2,10.74,40.86,19.39,19.4,18.8,18.36,9999,9999
2,9.73,40.44,19.56,19.64,19.26,19.04,9999,9999
2,11.1,42.08,15.48,16.35,16.26,16.25,9999,9999
2,10.45,40.88,21.5,21.05,20.3,19.78,9999,9999
2,10.47,40.87,20.76,20.49,19.86,19.41,9999,9999
2,10.48,40.86,21.27,21.03,20.3,19.79,9999,9999
2,8.8,41.49,19.82,19.17,18.11,17.31,14.74,14.43
2,10.48,39.59,19.05,18.9,18.18,17.66,15.87,15.15
2,11.65,40.01,18.84,18.32,17.34,16.6,13.99,13.83
2,12.19,40.15,19.09,18.62,17.65,16.88,14.19,14
2,12.4,40.01,18.54,17.9,16.86,16.11,13.73,13.53
2,12.68,40.19,18.59,18.42,17.67,17.09,14.92,14.3
2,12.7,41.43,19.03,18.36,17.32,16.63,14.08,13.72
2,8.55,39.85,18.96,18.79,17.97,17.22,14.94,15.02
2,8.88,40.74,18.85,18.78,18.05,17.4,15.34,14.6
2,9.1,39.75,19.29,19.25,18.56,18.04,16.77,15.6
2,9.14,41.15,19.7,19.57,18.79,18.12,9999,15
2,9.4,40.96,19.23,18.64,17.63,16.89,14.6,14.06
2,9.52,40.93,18.72,18.46,17.64,16.99,14.7,14.21
2,10.01,39.39,18.71,18.38,17.56,17.01,15.01,14.66
2,10.06,39.69,19.19,18.69,17.69,16.89,14.51,14.12
2,10.07,42.42,17.95,18.5,18.54,19.08,9999,14.92
2,10.21,40.56,18.79,18.62,17.93,17.51,9999,9999
2,10.81,40.02,18.67,18.75,18.23,17.92,9999,9999
2,10.92,39.61,17.25,17.13,16.39,15.81,13.3,12.96
2,11.4,40.59,18.37,18.15,17.42,17.01,15.26,15.63
2,11.46,41.03,18.47,18.23,17.47,16.98,15.09,9999
2,11.54,40.84,18.91,18.68,17.92,17.44,16.86,15.29
2,11.59,40.3,18.72,18.79,18.23,17.89,16.21,9999
2,11.67,40.05,19,18.88,18.21,17.82,16.33,9999
2,11.7,40.04,18.56,18.52,17.91,17.57,15.97,15.43
2,12.23,39.6,19.54,18.73,17.57,16.71,14.01,13.71
2,12.47,40.89,19.22,18.44,17.38,16.73,14.41,14.23
2,12.52,40.63,19.31,18.85,17.83,16.92,14.27,13.81
2,11.98,42.73,20.08,19.29,18.58,18.31,15.06,14.78
2,12.2,42.55,20.25,19.99,19.03,19.05,9999,9999
2,12.34,42.27,19.73,19.66,18.79,18.62,9999,9999
2,8.81,39.76,19.29,19.22,18.47,17.81,15.12,14.96
2,9.91,42.17,16.91,17.07,16.51,16.07,14.55,14.36
2,8.35,40.08,19.51,19.11,18.22,17.57,15.22,14.6
2,8.38,39.86,18.32,18.47,17.94,17.59,15.97,14.87
